rasterTimeSecs,NumTriangles,NumTrianglesRastered,AvgPixelsPerTri,MaxPixelsPerTri
0.173807,12,4,12572.3,15922
0.142739,12,4,10500.3,13270
0.128538,12,6,6484.5,11807
0.134655,12,6,7370.83,10489
0.117409,12,6,6443.67,8175
0.136607,12,6,6566.67,10974
0.154747,12,6,6462.67,13830
0.105044,12,6,3634.83,10560
0.0755729,12,4,4732.75,5661
0.0741287,12,6,2779,6017
0.065657,12,6,2421.83,5563
0.0622044,12,6,2748.83,3730
0.0557681,12,6,2377.33,5089
0.051967,12,6,2112.17,5287
0.0513286,12,4,3156.5,4739
0.0527187,12,6,2249.5,3411
0.0473247,12,6,2161,3177
0.0340318,12,4,2572.5,3210
0.0319278,12,4,2371,2957
0.0291867,12,4,2194.25,2725
0.0271558,12,4,2036.25,2516
0.0250953,12,4,1894,2330
0.0233194,12,4,1767.5,2163
0.0221662,12,4,1651.5,2019
0.0206329,12,4,1548.25,1884
0.021793,12,6,1026.17,1707
0.0228078,12,6,1052.33,1369
0.0225032,12,6,1015.17,1127
0.0215619,12,6,919.5,1375
0.0176536,12,6,840.667,1434
0.0162993,12,6,831,1350
0.0151375,12,6,760.833,1296
0.013534,12,4,999,1201
0.0132889,12,6,646.833,1090
0.0133316,12,6,651.333,977
0.0129477,12,6,645.667,859
0.0132232,12,6,657.667,828
0.0125696,12,6,633.333,773
0.0118791,12,6,612,727
0.0117087,12,6,588.667,702
0.010863,12,6,554,700
0.00962489,12,6,494.667,771
0.00934039,12,6,459.167,807
0.0092082,12,6,453.667,763
0.00912404,12,6,477.333,677
0.00843928,12,6,472.333,536
0.00828492,12,6,461.833,660
0.00835225,12,6,418.5,725
0.00819912,12,6,371.833,744
0.00781445,12,6,350.833,753
0.00764162,12,4,492.75,725
0.00718798,12,6,333,678
0.00698354,12,6,361.333,647
0.00706564,12,6,388.167,484
0.00714241,12,6,381.833,488
0.00692401,12,6,338.333,573
0.00693797,12,6,336.333,547
0.0071925,12,6,353.333,555
0.00699749,12,6,339.167,548
0.00706195,12,6,325.833,534
0.00696588,12,6,304.167,577
0.00682014,12,6,274.833,583
0.00735178,12,6,297.167,572
0.00571951,12,6,282.667,435
0.00604014,12,6,284.5,479
0.00550932,12,6,257.833,465
0.00562468,12,6,266.833,375
0.00581968,12,6,269.5,406
0.0058866,12,6,257.5,422
0.00601674,12,6,248.667,456
0.00581763,12,6,198.167,496
0.00559019,12,6,174.5,488
0.0057503,12,6,210,474
0.00558773,12,6,237.333,422
0.00563125,12,6,258,371
0.00541326,12,6,255.5,341
0.0055475,12,6,249.333,390
0.00543419,12,6,213.5,445
0.00492965,12,6,187.833,465
0.00519116,12,6,210.333,411
0.00449942,12,6,202,378
0.00475435,12,6,166.5,423
0.00478802,12,6,169.167,414
0.00460246,12,6,198.5,358
0.00439884,12,6,214.167,301
0.00417674,12,6,213.333,242
0.00402895,12,6,213.833,250
0.00400432,12,6,206.333,268
0.00403839,12,6,206,274
0.00376621,12,6,198.167,277
0.00365824,12,6,181,323
0.00390168,12,6,173.5,336
0.00378345,12,6,197.833,302
0.00365988,12,6,197,251
0.0042338,12,6,184,332
0.00429374,12,6,147.833,367
0.00433438,12,6,168.667,347
0.00425351,12,6,182.5,305
0.00411598,12,6,188.333,274
0.00404291,12,6,188.5,231
0.0038479,12,6,190.333,199
0.00379823,12,6,180.333,233
0.00353015,12,6,170.5,270
0.00340289,12,6,151.833,295
0.00333679,12,6,136.667,307
0.00311387,12,6,115.333,315
0.00313892,12,6,107.667,313
0.00305065,12,4,178.5,298
0.00303793,12,4,196.25,277
0.00278011,12,6,135.5,235
0.00270991,12,6,142.5,223
0.00305517,12,6,148.5,243
0.0030096,12,6,146.833,244
0.00280064,12,6,142.333,226
0.00259907,12,4,196.75,214
0.0031188,12,6,135.333,249
0.00339386,12,6,127.333,268
0.00334336,12,6,123.667,273
0.00320337,12,6,113.333,267
0.00315246,12,6,115.833,265
0.00304449,12,6,124.333,251
0.00295254,12,6,127.833,246
0.00295089,12,6,127.167,239
0.00274891,12,6,127.167,229
0.00268282,12,6,123.833,216
0.00236589,12,6,118.333,203
0.00266352,12,6,123,175
0.00310977,12,6,133,181
0.00283636,12,6,131.167,169
0.00265039,12,6,115.667,191
0.00249479,12,6,102.833,210
0.00275712,12,6,100.833,221
0.002604,12,6,92.3333,221
0.00260728,12,4,134.75,222
0.00260194,12,6,90.6667,218
0.00263437,12,6,94.3333,218
0.00233674,12,6,95,213
0.00234988,12,5,114.6,215
0.001271,12,6,95,193
0.000761945,12,5,102.6,170
0.000802587,12,5,107.8,160
4.47478e-005,12,0,-1.#IND,0
0.000810798,12,5,113.6,139
6.15796e-005,12,0,-1.#IND,0
5.09058e-005,12,0,-1.#IND,0
4.55689e-005,12,0,-1.#IND,0
5.09058e-005,12,0,-1.#IND,0
7.22534e-005,12,0,-1.#IND,0
4.92637e-005,12,0,-1.#IND,0
5.3369e-005,12,0,-1.#IND,0
4.51584e-005,12,0,-1.#IND,0
5.09058e-005,12,0,-1.#IND,0
7.4306e-005,12,0,-1.#IND,0
7.30744e-005,12,0,-1.#IND,0
7.30744e-005,12,0,-1.#IND,0
0.000108791,12,0,-1.#IND,0
5.62427e-005,12,0,-1.#IND,0
0.000205676,12,0,-1.#IND,0
5.09058e-005,12,0,-1.#IND,0
5.54216e-005,12,0,-1.#IND,0
7.06113e-005,12,0,-1.#IND,0
4.51584e-005,12,0,-1.#IND,0
5.09058e-005,12,0,-1.#IND,0
7.3485e-005,12,0,-1.#IND,0
0.000107148,12,0,-1.#IND,0
